"Town","FIPS","Year","Foreclosure","Measure Type","Variable","Value"
"Barkhamsted","0900502760","2013","Total Foreclosures","Number","Foreclosures","0"
"Barkhamsted","0900502760","2014","Lis Penden Filings","Number","Foreclosures","7"
"Barkhamsted","0900502760","2014","Total Foreclosures","Number","Foreclosures","5"
"Barkhamsted","0900502760","2015","Lis Penden Filings","Number","Foreclosures","2"
"Barkhamsted","0900502760","2015","Total Foreclosures","Number","Foreclosures","2"
"Barkhamsted","0900502760","2016","Lis Penden Filings","Number","Foreclosures","8"
"Barkhamsted","0900502760","2016","Total Foreclosures","Number","Foreclosures","3"
"Beacon Falls","0900903250","2008","Lis Penden Filings","Number","Foreclosures","24"
"Beacon Falls","0900903250","2008","Total Foreclosures","Number","Foreclosures","9"
"Beacon Falls","0900903250","2009","Lis Penden Filings","Number","Foreclosures","53"
"Beacon Falls","0900903250","2009","Total Foreclosures","Number","Foreclosures","5"
"Beacon Falls","0900903250","2010","Lis Penden Filings","Number","Foreclosures","36"
"Beacon Falls","0900903250","2010","Total Foreclosures","Number","Foreclosures","12"
"Beacon Falls","0900903250","2011","Lis Penden Filings","Number","Foreclosures","27"
"Beacon Falls","0900903250","2011","Total Foreclosures","Number","Foreclosures","3"
"Beacon Falls","0900903250","2012","Lis Penden Filings","Number","Foreclosures","49"
"Beacon Falls","0900903250","2012","Total Foreclosures","Number","Foreclosures","15"
"Beacon Falls","0900903250","2013","Lis Penden Filings","Number","Foreclosures","46"
"Beacon Falls","0900903250","2013","Total Foreclosures","Number","Foreclosures","10"
"Beacon Falls","0900903250","2014","Lis Penden Filings","Number","Foreclosures","12"
"Beacon Falls","0900903250","2014","Total Foreclosures","Number","Foreclosures","10"
"Beacon Falls","0900903250","2015","Lis Penden Filings","Number","Foreclosures","30"
"Beacon Falls","0900903250","2015","Total Foreclosures","Number","Foreclosures","3"
"Beacon Falls","0900903250","2016","Lis Penden Filings","Number","Foreclosures","27"
"Beacon Falls","0900903250","2016","Total Foreclosures","Number","Foreclosures","5"
"Berlin","0900304300","2008","Lis Penden Filings","Number","Foreclosures","43"
"Berlin","0900304300","2008","Total Foreclosures","Number","Foreclosures","14"
"Berlin","0900304300","2009","Lis Penden Filings","Number","Foreclosures","59"
"Berlin","0900304300","2009","Total Foreclosures","Number","Foreclosures","15"
"Berlin","0900304300","2010","Lis Penden Filings","Number","Foreclosures","65"
"Berlin","0900304300","2010","Total Foreclosures","Number","Foreclosures","15"
"Berlin","0900304300","2011","Lis Penden Filings","Number","Foreclosures","44"
"Berlin","0900304300","2011","Total Foreclosures","Number","Foreclosures","7"
"Berlin","0900304300","2012","Lis Penden Filings","Number","Foreclosures","35"
"Berlin","0900304300","2012","Total Foreclosures","Number","Foreclosures","13"
"Berlin","0900304300","2013","Lis Penden Filings","Number","Foreclosures","63"
"Berlin","0900304300","2013","Total Foreclosures","Number","Foreclosures","11"
"Berlin","0900304300","2014","Lis Penden Filings","Number","Foreclosures","5"
"Berlin","0900304300","2014","Total Foreclosures","Number","Foreclosures","18"
"Berlin","0900304300","2015","Lis Penden Filings","Number","Foreclosures","30"
"Berlin","0900304300","2015","Total Foreclosures","Number","Foreclosures","15"
"Berlin","0900304300","2016","Lis Penden Filings","Number","Foreclosures","34"
"Berlin","0900304300","2016","Total Foreclosures","Number","Foreclosures","6"
"Bethany","0900904580","2008","Lis Penden Filings","Number","Foreclosures","13"
"Bethany","0900904580","2008","Total Foreclosures","Number","Foreclosures","1"
"Bethany","0900904580","2009","Lis Penden Filings","Number","Foreclosures","37"
"Bethany","0900904580","2009","Total Foreclosures","Number","Foreclosures","4"
"Bethany","0900904580","2010","Lis Penden Filings","Number","Foreclosures","27"
"Bethany","0900904580","2010","Total Foreclosures","Number","Foreclosures","11"
"Bethany","0900904580","2011","Lis Penden Filings","Number","Foreclosures","13"
"Bethany","0900904580","2011","Total Foreclosures","Number","Foreclosures","0"
"Bethany","0900904580","2012","Lis Penden Filings","Number","Foreclosures","20"
"Bethany","0900904580","2012","Total Foreclosures","Number","Foreclosures","5"
"Bethany","0900904580","2013","Lis Penden Filings","Number","Foreclosures","18"
"Bethany","0900904580","2013","Total Foreclosures","Number","Foreclosures","3"
"Bethany","0900904580","2014","Lis Penden Filings","Number","Foreclosures","30"
"Bethany","0900904580","2014","Total Foreclosures","Number","Foreclosures","8"
"Bethany","0900904580","2015","Lis Penden Filings","Number","Foreclosures","21"
"Bethany","0900904580","2015","Total Foreclosures","Number","Foreclosures","4"
"Bethany","0900904580","2016","Lis Penden Filings","Number","Foreclosures","17"
"Bethany","0900904580","2016","Total Foreclosures","Number","Foreclosures","5"
"Bethel","0900104720","2008","Lis Penden Filings","Number","Foreclosures","75"
"Bethel","0900104720","2008","Total Foreclosures","Number","Foreclosures","22"
"Bethel","0900104720","2009","Lis Penden Filings","Number","Foreclosures","125"
"Bethel","0900104720","2009","Total Foreclosures","Number","Foreclosures","18"
"Bethel","0900104720","2010","Lis Penden Filings","Number","Foreclosures","107"
"Bethel","0900104720","2010","Total Foreclosures","Number","Foreclosures","28"
"Bethel","0900104720","2011","Lis Penden Filings","Number","Foreclosures","54"
"Bethel","0900104720","2011","Total Foreclosures","Number","Foreclosures","14"
"Bethel","0900104720","2012","Lis Penden Filings","Number","Foreclosures","98"
"Bethel","0900104720","2012","Total Foreclosures","Number","Foreclosures","23"
"Bethel","0900104720","2013","Lis Penden Filings","Number","Foreclosures","118"
"Bethel","0900104720","2013","Total Foreclosures","Number","Foreclosures","24"
"Bethel","0900104720","2014","Lis Penden Filings","Number","Foreclosures","20"
"Bethel","0900104720","2014","Total Foreclosures","Number","Foreclosures","41"
"Bethel","0900104720","2015","Lis Penden Filings","Number","Foreclosures","36"
"Bethel","0900104720","2015","Total Foreclosures","Number","Foreclosures","74"
"Bethel","0900104720","2016","Lis Penden Filings","Number","Foreclosures","75"
"Bethel","0900104720","2016","Total Foreclosures","Number","Foreclosures","10"
"Bethlehem","0900504930","2008","Lis Penden Filings","Number","Foreclosures","10"
"Bethlehem","0900504930","2008","Total Foreclosures","Number","Foreclosures","1"
"Bethlehem","0900504930","2009","Lis Penden Filings","Number","Foreclosures","17"
"Bethlehem","0900504930","2009","Total Foreclosures","Number","Foreclosures","4"
"Bethlehem","0900504930","2010","Lis Penden Filings","Number","Foreclosures","16"
"Bethlehem","0900504930","2010","Total Foreclosures","Number","Foreclosures","6"
"Bethlehem","0900504930","2011","Lis Penden Filings","Number","Foreclosures","9"
"Bethlehem","0900504930","2011","Total Foreclosures","Number","Foreclosures","2"
"Bethlehem","0900504930","2012","Lis Penden Filings","Number","Foreclosures","13"
"Bethlehem","0900504930","2012","Total Foreclosures","Number","Foreclosures","7"
"Bethlehem","0900504930","2013","Lis Penden Filings","Number","Foreclosures","9"
"Bethlehem","0900504930","2013","Total Foreclosures","Number","Foreclosures","7"
"Bethlehem","0900504930","2014","Lis Penden Filings","Number","Foreclosures","17"
"Bethlehem","0900504930","2014","Total Foreclosures","Number","Foreclosures","6"
"Bethlehem","0900504930","2015","Lis Penden Filings","Number","Foreclosures","8"
"Bethlehem","0900504930","2015","Total Foreclosures","Number","Foreclosures","8"
"Bethlehem","0900504930","2016","Lis Penden Filings","Number","Foreclosures","13"
"Bethlehem","0900504930","2016","Total Foreclosures","Number","Foreclosures","4"
"Bloomfield","0900305910","2008","Lis Penden Filings","Number","Foreclosures","141"
"Bloomfield","0900305910","2008","Total Foreclosures","Number","Foreclosures","49"
"Bloomfield","0900305910","2009","Lis Penden Filings","Number","Foreclosures","180"
"Bloomfield","0900305910","2009","Total Foreclosures","Number","Foreclosures","36"
"Bloomfield","0900305910","2010","Lis Penden Filings","Number","Foreclosures","183"
"Bloomfield","0900305910","2010","Total Foreclosures","Number","Foreclosures","45"
"Bloomfield","0900305910","2011","Lis Penden Filings","Number","Foreclosures","114"
"Bloomfield","0900305910","2011","Total Foreclosures","Number","Foreclosures","22"
"Bloomfield","0900305910","2012","Lis Penden Filings","Number","Foreclosures","125"
"Bloomfield","0900305910","2012","Total Foreclosures","Number","Foreclosures","35"
"Bloomfield","0900305910","2013","Lis Penden Filings","Number","Foreclosures","175"
"Bloomfield","0900305910","2013","Total Foreclosures","Number","Foreclosures","53"
"Bloomfield","0900305910","2014","Lis Penden Filings","Number","Foreclosures","23"
"Bloomfield","0900305910","2014","Total Foreclosures","Number","Foreclosures","69"
"Bloomfield","0900305910","2015","Lis Penden Filings","Number","Foreclosures","93"
"Bloomfield","0900305910","2015","Total Foreclosures","Number","Foreclosures","34"
"Bloomfield","0900305910","2016","Lis Penden Filings","Number","Foreclosures","121"
"Bloomfield","0900305910","2016","Total Foreclosures","Number","Foreclosures","39"
"Bolton","0901306260","2008","Lis Penden Filings","Number","Foreclosures","11"
"Bolton","0901306260","2008","Total Foreclosures","Number","Foreclosures","1"
"Bolton","0901306260","2009","Lis Penden Filings","Number","Foreclosures","24"
"Bolton","0901306260","2009","Total Foreclosures","Number","Foreclosures","5"
"Bolton","0901306260","2010","Lis Penden Filings","Number","Foreclosures","18"
"Bolton","0901306260","2010","Total Foreclosures","Number","Foreclosures","8"
"Bolton","0901306260","2011","Lis Penden Filings","Number","Foreclosures","9"
"Bolton","0901306260","2011","Total Foreclosures","Number","Foreclosures","1"
"Bolton","0901306260","2012","Lis Penden Filings","Number","Foreclosures","18"
"Bolton","0901306260","2012","Total Foreclosures","Number","Foreclosures","0"
"Bolton","0901306260","2013","Lis Penden Filings","Number","Foreclosures","11"
"Bolton","0901306260","2013","Total Foreclosures","Number","Foreclosures","4"
"Bolton","0901306260","2014","Lis Penden Filings","Number","Foreclosures","14"
"Bolton","0901306260","2014","Total Foreclosures","Number","Foreclosures","5"
"Bolton","0901306260","2015","Lis Penden Filings","Number","Foreclosures","12"
"Bolton","0901306260","2015","Total Foreclosures","Number","Foreclosures","15"
"Bolton","0901306260","2016","Lis Penden Filings","Number","Foreclosures","13"
"Bolton","0901306260","2016","Total Foreclosures","Number","Foreclosures","2"
"Bozrah","0901106820","2008","Lis Penden Filings","Number","Foreclosures","9"
"Bozrah","0901106820","2008","Total Foreclosures","Number","Foreclosures","3"
"Bozrah","0901106820","2009","Lis Penden Filings","Number","Foreclosures","14"
"Bozrah","0901106820","2009","Total Foreclosures","Number","Foreclosures","0"
"Bozrah","0901106820","2010","Lis Penden Filings","Number","Foreclosures","4"
"Bozrah","0901106820","2010","Total Foreclosures","Number","Foreclosures","5"
"Bozrah","0901106820","2011","Lis Penden Filings","Number","Foreclosures","13"
"Bozrah","0901106820","2011","Total Foreclosures","Number","Foreclosures","0"
"Bozrah","0901106820","2012","Lis Penden Filings","Number","Foreclosures","11"
"Bozrah","0901106820","2012","Total Foreclosures","Number","Foreclosures","2"
"Bozrah","0901106820","2013","Lis Penden Filings","Number","Foreclosures","10"
"Bozrah","0901106820","2013","Total Foreclosures","Number","Foreclosures","3"
"Bozrah","0901106820","2014","Lis Penden Filings","Number","Foreclosures","10"
"Bozrah","0901106820","2014","Total Foreclosures","Number","Foreclosures","5"
"Bozrah","0901106820","2015","Lis Penden Filings","Number","Foreclosures","8"
"Bozrah","0901106820","2015","Total Foreclosures","Number","Foreclosures","2"
"Bozrah","0901106820","2016","Lis Penden Filings","Number","Foreclosures","10"
"Bozrah","0901106820","2016","Total Foreclosures","Number","Foreclosures","0"
"Branford","0900907310","2008","Lis Penden Filings","Number","Foreclosures","109"
"Branford","0900907310","2008","Total Foreclosures","Number","Foreclosures","21"
"Branford","0900907310","2009","Lis Penden Filings","Number","Foreclosures","224"
"Branford","0900907310","2009","Total Foreclosures","Number","Foreclosures","31"
"Branford","0900907310","2010","Lis Penden Filings","Number","Foreclosures","209"
"Branford","0900907310","2010","Total Foreclosures","Number","Foreclosures","39"
"Branford","0900907310","2011","Lis Penden Filings","Number","Foreclosures","111"
"Branford","0900907310","2011","Total Foreclosures","Number","Foreclosures","0"
"Branford","0900907310","2012","Lis Penden Filings","Number","Foreclosures","237"
"Branford","0900907310","2012","Total Foreclosures","Number","Foreclosures","6"
"Branford","0900907310","2013","Lis Penden Filings","Number","Foreclosures","184"
"Branford","0900907310","2013","Total Foreclosures","Number","Foreclosures","2"
"Branford","0900907310","2014","Lis Penden Filings","Number","Foreclosures","10"
"Branford","0900907310","2014","Total Foreclosures","Number","Foreclosures","8"
"Branford","0900907310","2015","Lis Penden Filings","Number","Foreclosures","94"
"Branford","0900907310","2015","Total Foreclosures","Number","Foreclosures","2"
"Branford","0900907310","2016","Lis Penden Filings","Number","Foreclosures","102"
"Branford","0900907310","2016","Total Foreclosures","Number","Foreclosures","9"
"Bridgeport","0900108070","2008","Lis Penden Filings","Number","Foreclosures","1131"
"Bridgeport","0900108070","2008","Total Foreclosures","Number","Foreclosures","412"
"Bridgeport","0900108070","2009","Lis Penden Filings","Number","Foreclosures","2334"
"Bridgeport","0900108070","2009","Total Foreclosures","Number","Foreclosures","465"
"Bridgeport","0900108070","2010","Lis Penden Filings","Number","Foreclosures","1846"
"Bridgeport","0900108070","2010","Total Foreclosures","Number","Foreclosures","573"
"Bridgeport","0900108070","2011","Lis Penden Filings","Number","Foreclosures","1521"
"Bridgeport","0900108070","2011","Total Foreclosures","Number","Foreclosures","203"
"Bridgeport","0900108070","2012","Lis Penden Filings","Number","Foreclosures","1846"
"Bridgeport","0900108070","2012","Total Foreclosures","Number","Foreclosures","259"
"Bridgeport","0900108070","2013","Lis Penden Filings","Number","Foreclosures","2143"
"Bridgeport","0900108070","2013","Total Foreclosures","Number","Foreclosures","284"
"Bridgeport","0900108070","2014","Lis Penden Filings","Number","Foreclosures","29"
"Bridgeport","0900108070","2014","Total Foreclosures","Number","Foreclosures","437"
"Bridgeport","0900108070","2015","Lis Penden Filings","Number","Foreclosures","1445"
"Bridgeport","0900108070","2015","Total Foreclosures","Number","Foreclosures","246"
"Bridgeport","0900108070","2016","Lis Penden Filings","Number","Foreclosures","1157"
"Bridgeport","0900108070","2016","Total Foreclosures","Number","Foreclosures","261"
"Bridgewater","0900508210","2008","Lis Penden Filings","Number","Foreclosures","3"
"Bridgewater","0900508210","2008","Total Foreclosures","Number","Foreclosures","0"
"Bridgewater","0900508210","2009","Lis Penden Filings","Number","Foreclosures","7"
"Bridgewater","0900508210","2009","Total Foreclosures","Number","Foreclosures","0"
"Bridgewater","0900508210","2010","Lis Penden Filings","Number","Foreclosures","10"
"Bridgewater","0900508210","2010","Total Foreclosures","Number","Foreclosures","0"
"Bridgewater","0900508210","2011","Lis Penden Filings","Number","Foreclosures","4"
"Bridgewater","0900508210","2011","Total Foreclosures","Number","Foreclosures","1"
"Bridgewater","0900508210","2012","Lis Penden Filings","Number","Foreclosures","6"
"Bridgewater","0900508210","2012","Total Foreclosures","Number","Foreclosures","2"
"Bridgewater","0900508210","2013","Lis Penden Filings","Number","Foreclosures","7"
"Bridgewater","0900508210","2013","Total Foreclosures","Number","Foreclosures","2"
"Bridgewater","0900508210","2014","Lis Penden Filings","Number","Foreclosures","48"
"Bridgewater","0900508210","2014","Total Foreclosures","Number","Foreclosures","4"
"Bridgewater","0900508210","2015","Lis Penden Filings","Number","Foreclosures","2"
"Bridgewater","0900508210","2015","Total Foreclosures","Number","Foreclosures","15"
"Bridgewater","0900508210","2016","Lis Penden Filings","Number","Foreclosures","5"
"Bridgewater","0900508210","2016","Total Foreclosures","Number","Foreclosures","1"
"Bristol","0900308490","2008","Lis Penden Filings","Number","Foreclosures","292"
"Bristol","0900308490","2008","Total Foreclosures","Number","Foreclosures","97"
"Bristol","0900308490","2009","Lis Penden Filings","Number","Foreclosures","398"
"Bristol","0900308490","2009","Total Foreclosures","Number","Foreclosures","91"
"Bristol","0900308490","2010","Lis Penden Filings","Number","Foreclosures","400"
"Bristol","0900308490","2010","Total Foreclosures","Number","Foreclosures","153"
"Bristol","0900308490","2011","Lis Penden Filings","Number","Foreclosures","271"
"Bristol","0900308490","2011","Total Foreclosures","Number","Foreclosures","64"
"Bristol","0900308490","2012","Lis Penden Filings","Number","Foreclosures","348"
"Bristol","0900308490","2012","Total Foreclosures","Number","Foreclosures","107"
"Bristol","0900308490","2013","Lis Penden Filings","Number","Foreclosures","433"
"Bristol","0900308490","2013","Total Foreclosures","Number","Foreclosures","133"
"Bristol","0900308490","2014","Lis Penden Filings","Number","Foreclosures","39"
"Bristol","0900308490","2014","Total Foreclosures","Number","Foreclosures","142"
"Bristol","0900308490","2015","Lis Penden Filings","Number","Foreclosures","213"
"Bristol","0900308490","2015","Total Foreclosures","Number","Foreclosures","39"
"Bristol","0900308490","2016","Lis Penden Filings","Number","Foreclosures","373"
"Bristol","0900308490","2016","Total Foreclosures","Number","Foreclosures","55"
"Brookfield","0900108980","2008","Lis Penden Filings","Number","Foreclosures","60"
"Brookfield","0900108980","2008","Total Foreclosures","Number","Foreclosures","12"
"Brookfield","0900108980","2009","Lis Penden Filings","Number","Foreclosures","82"
"Brookfield","0900108980","2009","Total Foreclosures","Number","Foreclosures","20"
"Brookfield","0900108980","2010","Lis Penden Filings","Number","Foreclosures","89"
"Brookfield","0900108980","2010","Total Foreclosures","Number","Foreclosures","20"
"Brookfield","0900108980","2011","Lis Penden Filings","Number","Foreclosures","53"
"Brookfield","0900108980","2011","Total Foreclosures","Number","Foreclosures","17"
"Brookfield","0900108980","2012","Lis Penden Filings","Number","Foreclosures","62"
"Brookfield","0900108980","2012","Total Foreclosures","Number","Foreclosures","31"
"Brookfield","0900108980","2013","Lis Penden Filings","Number","Foreclosures","79"
"Brookfield","0900108980","2013","Total Foreclosures","Number","Foreclosures","22"
"Brookfield","0900108980","2014","Lis Penden Filings","Number","Foreclosures","11"
"Brookfield","0900108980","2014","Total Foreclosures","Number","Foreclosures","27"
"Brookfield","0900108980","2015","Lis Penden Filings","Number","Foreclosures","58"
"Brookfield","0900108980","2015","Total Foreclosures","Number","Foreclosures","92"
"Brookfield","0900108980","2016","Lis Penden Filings","Number","Foreclosures","48"
"Brookfield","0900108980","2016","Total Foreclosures","Number","Foreclosures","18"
"Brooklyn","0901509190","2008","Lis Penden Filings","Number","Foreclosures","53"
"Brooklyn","0901509190","2008","Total Foreclosures","Number","Foreclosures","18"
"Brooklyn","0901509190","2009","Lis Penden Filings","Number","Foreclosures","51"
"Brooklyn","0901509190","2009","Total Foreclosures","Number","Foreclosures","16"
"Brooklyn","0901509190","2010","Lis Penden Filings","Number","Foreclosures","57"
"Brooklyn","0901509190","2010","Total Foreclosures","Number","Foreclosures","11"
"Brooklyn","0901509190","2011","Lis Penden Filings","Number","Foreclosures","40"
"Brooklyn","0901509190","2011","Total Foreclosures","Number","Foreclosures","10"
"Brooklyn","0901509190","2012","Lis Penden Filings","Number","Foreclosures","38"
"Brooklyn","0901509190","2012","Total Foreclosures","Number","Foreclosures","13"
"Brooklyn","0901509190","2013","Lis Penden Filings","Number","Foreclosures","73"
"Brooklyn","0901509190","2013","Total Foreclosures","Number","Foreclosures","22"
"Brooklyn","0901509190","2014","Lis Penden Filings","Number","Foreclosures","20"
"Brooklyn","0901509190","2014","Total Foreclosures","Number","Foreclosures","37"
"Brooklyn","0901509190","2015","Lis Penden Filings","Number","Foreclosures","33"
"Brooklyn","0901509190","2015","Total Foreclosures","Number","Foreclosures","3"
"Brooklyn","0901509190","2016","Lis Penden Filings","Number","Foreclosures","26"
"Brooklyn","0901509190","2016","Total Foreclosures","Number","Foreclosures","13"
"Burlington","0900310100","2008","Lis Penden Filings","Number","Foreclosures","26"
"Burlington","0900310100","2008","Total Foreclosures","Number","Foreclosures","3"
"Burlington","0900310100","2009","Lis Penden Filings","Number","Foreclosures","39"
"Burlington","0900310100","2009","Total Foreclosures","Number","Foreclosures","11"
"Burlington","0900310100","2010","Lis Penden Filings","Number","Foreclosures","40"
"Burlington","0900310100","2010","Total Foreclosures","Number","Foreclosures","11"
"Burlington","0900310100","2011","Lis Penden Filings","Number","Foreclosures","16"
"Burlington","0900310100","2011","Total Foreclosures","Number","Foreclosures","7"
"Burlington","0900310100","2012","Lis Penden Filings","Number","Foreclosures","21"
"Burlington","0900310100","2012","Total Foreclosures","Number","Foreclosures","9"
"Burlington","0900310100","2013","Lis Penden Filings","Number","Foreclosures","20"
"Burlington","0900310100","2013","Total Foreclosures","Number","Foreclosures","4"
"Burlington","0900310100","2014","Lis Penden Filings","Number","Foreclosures","7"
"Burlington","0900310100","2014","Total Foreclosures","Number","Foreclosures","5"
"Burlington","0900310100","2015","Lis Penden Filings","Number","Foreclosures","24"
"Burlington","0900310100","2015","Total Foreclosures","Number","Foreclosures","3"
"Burlington","0900310100","2016","Lis Penden Filings","Number","Foreclosures","28"
"Burlington","0900310100","2016","Total Foreclosures","Number","Foreclosures","3"
"Canaan","0900510940","2008","Lis Penden Filings","Number","Foreclosures","3"
"Canaan","0900510940","2008","Total Foreclosures","Number","Foreclosures","3"
"Canaan","0900510940","2009","Lis Penden Filings","Number","Foreclosures","4"
"Canaan","0900510940","2009","Total Foreclosures","Number","Foreclosures","0"
"Canaan","0900510940","2010","Lis Penden Filings","Number","Foreclosures","2"
"Canaan","0900510940","2010","Total Foreclosures","Number","Foreclosures","2"
"Canaan","0900510940","2011","Lis Penden Filings","Number","Foreclosures","4"
"Canaan","0900510940","2011","Total Foreclosures","Number","Foreclosures","0"
"Canaan","0900510940","2012","Lis Penden Filings","Number","Foreclosures","5"
"Canaan","0900510940","2012","Total Foreclosures","Number","Foreclosures","3"
"Canaan","0900510940","2013","Lis Penden Filings","Number","Foreclosures","6"
"Canaan","0900510940","2013","Total Foreclosures","Number","Foreclosures","0"
"Canaan","0900510940","2014","Lis Penden Filings","Number","Foreclosures","12"
