Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
Manchester 212,10,28,12,50,13,18,12,43,18,14,40,72,14,22 11 47,
Mansfield 18,2,1,3,6,1,0,1,2,2,1,2,5,1,3 1 5,
Marlborough 18,2,1,0,3,4,0,4,8,1,0,2,3,2,1 1 4,
Meriden 292,23,26,6,55,17,63,24,104,18,31,20,69,17,19 28 64,
Middlebury 14,2,0,0,2,2,0,2,4,2,1,1,4,1,0 3 4,
Middlefield 6,1,2,0,3,0,0,0,0,0,2,0,2,0,1 0 1,
Middletown 171,5,22,27,54,7,24,6,37,14,9,24,47,4,11 18 33,
Milford 165,10,5,4,19,9,28,16,53,6,2,15,23,25,19 26 70,
Monroe 50,4,7,7,18,4,0,0,4,7,2,4,13,3,1 11 15,
Montville 69,0,8,8,16,11,6,2,19,3,5,8,16,7,8 3 18,
Morris 4,0,1,0,1,1,2,0,3,0,0,0,0,0,0 0 0,
Naugatuck 168,11,12,12,35,17,11,19,47,11,17,22,50,0,16 20 36,
New Britain 287,19,25,21,65,27,29,22,78,27,22,32,81,20,21 22 63,
New Canaan 27,1,1,1,3,3,2,0,5,2,6,5,13,2,1 3 6,
New Fairfield 40,5,3,4,12,1,1,3,5,2,4,6,12,0,1 10 11,
New Hartford 18,3,3,0,6,1,1,1,3,4,0,1,5,0,2 2 4,
New Haven 503,33,48,43,124,29,50,28,107,21,34,88,143,40,30 59 129,
New London 95,7,8,11,26,10,2,8,20,10,7,1,18,10,10 11 31,
New Milford 160,5,18,20,43,22,11,10,43,8,14,18,40,7,13 14 34,
Newington 50,5,2,9,16,10,7,5,22,3,5,0,8,1,0 3 4,
Newtown 73,4,5,2,11,14,3,9,26,2,4,11,17,4,2 13 19,
Norfolk 2,0,0,0,0,0,0,0,0,0,0,0,0,1,1 0 2,
